"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"1","European","Auckland","F",45,"Vocational/Trade","Professionals",30,644
"2","European","Auckland","F",65,"None","No Occupation",0,0
"3","European","Canterbury","F",40,"Vocational/Trade","Professionals",15,2671
"4","Pacific People","Auckland","F",15,"School","No Occupation",0,458
"5","European","Auckland","F",30,"Bachelore or Higher","Professionals",37.5,1019
"6","European","Gisborne / Hawke's Bay","F",65,"None","Machinery Operators and Drivers",16,1033
"7","European","Canterbury","M",20,"School","Technicians and Trade Workers",0,0
"8","European","Canterbury","M",50,"Bachelore or Higher","Managers",45,2405
"9","European","Canterbury","M",40,"Vocational/Trade","Professionals",40,576
"10","Maori","Northland","F",45,"Vocational/Trade","Community and Personal Service Worker",40,540
"11","Asian","Auckland","F",60,"Vocational/Trade","No Occupation",0,521
"12","European","Wellington","F",45,"Bachelore or Higher","Professionals",0,207
"13","European","Canterbury","F",50,"Vocational/Trade","Technicians and Trade Workers",26,468
"14","Asian","Auckland","M",15,"School","No Occupation",0,0
"15","European","Auckland","M",55,"School","No Occupation",0,333
"16","Other","Auckland","M",20,"School","Machinery Operators and Drivers",60,1755
"17","Pacific People","Other","M",20,"None","Labourers",30,757
"18","European","Canterbury","M",45,"Bachelore or Higher","No Occupation",0,323
"19","European","Auckland","M",50,"Vocational/Trade","Technicians and Trade Workers",0,956
"20","Asian","Auckland","M",35,"Other","Clerical and Administrative Workers",45,891
"21","European","Canterbury","M",65,"Bachelore or Higher","No Occupation",0,381
"22","European","Gisborne / Hawke's Bay","M",65,"Vocational/Trade","No Occupation",0,350
"23","European","Other","M",15,"School","Sales Workers",30,871
"24","European","Manawatu-Wanganui","F",35,"None","No Occupation",0,-422
"25","European","Nelson/Tasman/Marlborough/West Coast","F",50,"School","Professionals",40,759
"26","European","Auckland","M",25,"Vocational/Trade","Community and Personal Service Worker",15,289
"27","European","Canterbury","M",50,"Vocational/Trade","Technicians and Trade Workers",40,639
"28","European","Waikato","F",20,"School","Clerical and Administrative Workers",0,0
"29","European","Auckland","M",60,"Vocational/Trade","Technicians and Trade Workers",45,1312
"30","European","Manawatu-Wanganui","F",30,"Bachelore or Higher","Technicians and Trade Workers",21,373
"31","Pacific People","Auckland","F",55,"Bachelore or Higher","Professionals",40,1376
"32","European","Gisborne / Hawke's Bay","F",15,"None","No Occupation",0,0
"33","Asian","Bay of Plenty","F",65,"Other","No Occupation",0,0
